,Unnamed: 0,Unnamed: 0.1,County,fips_code,State,fips_state,fips_county,County_Crime_Rate,fips_code.1,County_Population,County_Total_Crimes,Areaname,STCOU,county_area,County_Population_Density,State_Population,state_area,State_Population_Density,State_Crime_Rate,State_Total_Crimes
0,0,94,Valdez Cordova,2261,Alaska,2,261,198,2261,6548,13,"Valdez-Cordova, AK",2261,34239.88,0.191238987987,461192,321509.45,1.43445861389,0.00484278144857,1557
1,1,114,Yuma,4027,Arizona,4,27,160,4027,198522,318,"Yuma, AZ",4027,5513.99,36.0033297122,6482505,113594.09,57.0672734823,0.0779177860397,8851
2,2,190,Yell,5149,Arkansas,5,149,102,5149,22353,23,"Yell, AR",5149,929.98,24.0360007742,2919397,50637.76,57.6525699399,0.0845021580733,4279
3,3,249,Yuba,6115,California,6,115,650,6115,73003,475,"Yuba, CA",6115,631.84,115.540326665,37691912,155779.21,241.957267597,0.694303174345,108158
4,4,314,Yuma,8125,Colorado,8,125,68,8125,10218,7,"Yuma, CO",8125,2364.41,4.32158551182,5100006,94134.8,54.177689866,0.0658523734049,6199
5,5,323,Windham,9015,Connecticut,9,15,128,9015,42805,55,"Windham, CT",9015,512.91,83.4551870699,3041572,4842.36,628.117694678,0.967296937857,4684
6,6,327,Sussex,10005,Delaware,10,5,271,10005,202984,552,"Sussex, DE",10005,936.08,216.844714127,907135,1948.55,465.543609351,1.24759436504,2431
7,7,329,District of Columbia,11001,District of Columbia,11,1,25,11001,617996,158,District of Columbia,11001,61.05,10122.7846028,617996,61.05,10122.7846028,2.58804258804,158
8,8,557,Worth,13321,Georgia,13,321,154,13321,21964,34,"Worth, GA",13321,570.7,38.4860697389,9790968,56838.72,172.258770078,0.267968736805,15231
9,9,563,Maui,15009,Hawaii,15,9,127,15009,156485,199,"Maui, HI",15009,1161.52,134.724326744,1374810,6410.64,214.457526862,0.248649120837,1594
10,10,608,Washington,16087,Idaho,16,87,116,16087,10311,12,"Washington, ID",16087,1452.98,7.09645005437,1578530,78604.45,20.0819419257,0.018535846253,1457
11,11,804,Whitley,18183,Indiana,18,183,62,18183,33462,21,"Whitley, IN",18183,335.57,99.7168996037,6495863,35429.42,183.346580328,0.274150691713,9713
12,12,904,Wright,19197,Iowa,19,197,67,19197,13298,9,"Wright, IA",19197,580.42,22.910995486,3055959,55325.29,55.2362039133,0.0760050241038,4205
13,13,1010,Wyandotte,20209,Kansas,20,209,189,20209,158471,300,"Wyandotte, KS",20209,151.6,1045.323219,2855054,77400.62,36.8867071091,0.0460203031965,3562
14,14,1131,Woodford,21239,Kentucky,21,239,15,21239,25111,4,"Woodford, KY",21239,188.78,133.017268778,4313806,37924.8,113.746308484,0.096875922879,3674
15,15,1196,Winn,22127,Louisiana,22,127,168,22127,15453,26,"Winn, LA",22127,950.09,16.2647749161,4574836,43203.93,105.889348492,0.328905263942,14210
16,16,1213,York,23031,Maine,23,31,69,23031,197105,137,"York, ME",23031,990.71,198.953275933,1328188,30842.92,43.0629784729,0.0245112978927,756
17,17,1237,Worcester,24047,Maryland,24,47,257,24047,51942,134,"Worcester, MD",24047,468.28,110.920816605,5828289,9707.23,600.407016214,1.05436875401,10235
18,18,1253,Worcester,25027,Massachusetts,25,27,199,25027,803419,1599,"Worcester, MA",25027,1510.77,531.794382997,6587536,7800.08,844.547235413,1.56921467472,12240
19,19,1337,Wexford,26165,Michigan,26,165,146,26165,32710,48,"Wexford, MI",26165,565.0,57.8938053097,9854687,56191.75,175.376047196,0.231012559673,12981
20,20,1425,Yellow Medicine,27173,Minnesota,27,173,105,27173,11379,12,"Yellow Medicine, MN",27173,759.1,14.9901198788,5301814,76375.6,69.4176412362,0.0738848532777,5643
21,21,1508,Yazoo,28163,Mississippi,28,163,152,28163,28171,43,"Yazoo, MS",28163,922.95,30.5227802156,2978512,46923.29,63.4761970015,0.0809406160565,3798
22,22,1623,Wright,29229,Missouri,29,229,167,29229,19073,32,"Wright, MO",29229,681.77,27.9757102835,5998651,67520.94,88.8413431448,0.162779131926,10991
23,23,1681,Yellowstone,30111,Montana,30,111,99,30111,149287,148,"Yellowstone, MT",30111,2633.29,56.6921987324,982359,126548.34,7.76271739321,0.00695386442841,880
24,24,1776,York,31185,Nebraska,31,185,21,31185,13787,3,"York, NE",31185,572.51,24.0816754293,1743562,51716.03,33.7141501387,0.041070437928,2124
25,25,1793,White Pine,32033,Nevada,32,33,108,32033,10115,11,"White Pine, NV",32033,8875.65,1.13963484365,2722532,106199.3,25.6360635145,0.0641906302584,6817
26,26,1805,Sullivan,33019,New Hampshire,33,19,84,33019,43799,37,"Sullivan, NH",33019,537.31,81.5153263479,1318194,8952.66,147.240484951,0.130464018515,1168
27,27,1827,Warren,34041,New Jersey,34,41,58,34041,109054,64,"Warren, NJ",34041,356.92,305.541858119,8821155,7354.22,1199.46846844,1.6295405903,11984
28,28,1861,Valencia,35061,New Mexico,35,61,74,35061,77426,58,"Valencia, NM",35061,1066.18,72.6200078786,2073521,112443.21,18.440606596,0.0397711876066,4472
29,29,1924,Yates,36123,New York,36,123,47,36123,25462,12,"Yates, NY",36123,338.14,75.3001715266,19460337,45409.06,428.55626168,0.969388047231,44019
30,30,2025,Yancey,37199,North Carolina,37,199,182,37199,18044,33,"Yancey, NC",37199,312.6,57.7223288548,9656401,48618.01,198.617775594,0.421366485383,20486
31,31,2079,Williams,38105,North Dakota,38,105,109,38105,22776,25,"Williams, ND",38105,2077.4,10.9637046308,634072,53964.86,11.7497200956,0.00967296125664,522
32,32,2168,Wyandot,39175,Ohio,39,175,17,39175,22632,4,"Wyandot, OH",39175,406.87,55.624646693,11484140,39950.04,287.462540713,0.249261327398,9958
33,33,2246,Woodward,40153,Oklahoma,40,153,64,40153,20296,13,"Woodward, OK",40153,1242.4,16.3361236317,3780708,64720.36,58.41605331,0.0841466271201,5446
34,34,2283,Yamhill,41071,Oregon,41,71,69,41071,100247,70,"Yamhill, OR",41071,715.86,140.037158104,3870075,95164.36,40.667272916,0.0477699844774,4546
35,35,2351,York,42133,Pennsylvania,42,133,122,42133,436359,533,"York, PA",42133,904.18,482.601915548,12742886,44742.71,284.803624993,0.548357486616,24535
36,36,2357,Washington,44009,Rhode Island,44,9,37,44009,126826,47,"Washington, RI",44009,329.24,385.208358644,1051302,1033.82,1016.9101004,0.811553268461,839
37,37,2404,York,45091,South Carolina,45,91,160,45091,228706,368,"York, SC",45091,680.6,336.03585072,4679230,30060.72,155.659278953,0.281397118898,8459
38,38,2470,Yankton,46135,South Dakota,46,135,57,46135,22709,13,"Yankton, SD",46135,521.16,43.5739504183,767304,55060.3,13.9357032199,0.0117507532651,647
