,Unnamed: 0,County,fips_code,State,fips_state,fips_county,crime_rate,crime_rate_bucket,population_bucket,fips_code.1,county_pop,total_crimes,Areaname,STCOU,county_area,state_pop,state_area
0,448,Valdez Cordova,2261,Alaska,2,261,198,5,1,2261,6548,13,"Valdez-Cordova, AK",2261,34239.88,461192,321509.45
1,666,Yuma,4027,Arizona,4,27,160,4,3,4027,198522,318,"Yuma, AZ",4027,5513.99,6482505,113594.09
2,1319,Yell,5149,Arkansas,5,149,102,3,1,5149,22353,23,"Yell, AR",5149,929.98,2919397,50637.76
3,7,Yuba,6115,California,6,115,650,6,2,6115,73003,475,"Yuba, CA",6115,631.84,37691912,155779.21
4,1863,Yuma,8125,Colorado,8,125,68,3,1,8125,10218,7,"Yuma, CO",8125,2364.41,5100006,94134.8
5,983,Windham,9015,Connecticut,9,15,128,4,1,9015,42805,55,"Windham, CT",9015,512.91,3041572,4842.36
6,208,Sussex,10005,Delaware,10,5,271,5,3,10005,202984,552,"Sussex, DE",10005,936.08,907135,1948.55
7,2559,District of Columbia,11001,District of Columbia,11,1,25,1,4,11001,617996,158,District of Columbia,11001,61.05,617996,61.05
8,715,Worth,13321,Georgia,13,321,154,4,1,13321,21964,34,"Worth, GA",13321,570.7,9790968,56838.72
9,998,Maui,15009,Hawaii,15,9,127,4,3,15009,156485,199,"Maui, HI",15009,1161.52,1374810,6410.64
10,1125,Washington,16087,Idaho,16,87,116,3,1,16087,10311,12,"Washington, ID",16087,1452.98,1578530,78604.45
11,1957,Whitley,18183,Indiana,18,183,62,2,1,18183,33462,21,"Whitley, IN",18183,335.57,6495863,35429.42
12,1882,Wright,19197,Iowa,19,197,67,3,1,19197,13298,9,"Wright, IA",19197,580.42,3055959,55325.29
13,488,Wyandotte,20209,Kansas,20,209,189,5,3,20209,158471,300,"Wyandotte, KS",20209,151.6,2855054,77400.62
14,2674,Woodford,21239,Kentucky,21,239,15,1,1,21239,25111,4,"Woodford, KY",21239,188.78,4313806,37924.8
15,609,Winn,22127,Louisiana,22,127,168,4,1,22127,15453,26,"Winn, LA",22127,950.09,4574836,43203.93
16,1851,York,23031,Maine,23,31,69,3,3,23031,197105,137,"York, ME",23031,990.71,1328188,30842.92
17,240,Worcester,24047,Maryland,24,47,257,5,2,24047,51942,134,"Worcester, MD",24047,468.28,5828289,9707.23
18,443,Worcester,25027,Massachusetts,25,27,199,5,4,25027,803419,1599,"Worcester, MA",25027,1510.77,6587536,7800.08
19,787,Wexford,26165,Michigan,26,165,146,4,1,26165,32710,48,"Wexford, MI",26165,565.0,9854687,56191.75
20,1281,Yellow Medicine,27173,Minnesota,27,173,105,3,1,27173,11379,12,"Yellow Medicine, MN",27173,759.1,5301814,76375.6
21,737,Yazoo,28163,Mississippi,28,163,152,4,1,28163,28171,43,"Yazoo, MS",28163,922.95,2978512,46923.29
22,615,Wright,29229,Missouri,29,229,167,4,1,29229,19073,32,"Wright, MO",29229,681.77,5998651,67520.94
23,1372,Yellowstone,30111,Montana,30,111,99,3,3,30111,149287,148,"Yellowstone, MT",30111,2633.29,982359,126548.34
24,2611,York,31185,Nebraska,31,185,21,1,1,31185,13787,3,"York, NE",31185,572.51,1743562,51716.03
25,1245,White Pine,32033,Nevada,32,33,108,3,1,32033,10115,11,"White Pine, NV",32033,8875.65,2722532,106199.3
26,1597,Sullivan,33019,New Hampshire,33,19,84,3,1,33019,43799,37,"Sullivan, NH",33019,537.31,1318194,8952.66
27,2029,Warren,34041,New Jersey,34,41,58,2,3,34041,109054,64,"Warren, NJ",34041,356.92,8821155,7354.22
28,1779,Valencia,35061,New Mexico,35,61,74,3,2,35061,77426,58,"Valencia, NM",35061,1066.18,2073521,112443.21
29,2215,Yates,36123,New York,36,123,47,2,1,36123,25462,12,"Yates, NY",36123,338.14,19460337,45409.06
30,537,Yancey,37199,North Carolina,37,199,182,5,1,37199,18044,33,"Yancey, NC",37199,312.6,9656401,48618.01
31,1236,Williams,38105,North Dakota,38,105,109,3,1,38105,22776,25,"Williams, ND",38105,2077.4,634072,53964.86
32,2656,Wyandot,39175,Ohio,39,175,17,1,1,39175,22632,4,"Wyandot, OH",39175,406.87,11484140,39950.04
33,1933,Woodward,40153,Oklahoma,40,153,64,2,1,40153,20296,13,"Woodward, OK",40153,1242.4,3780708,64720.36
34,1857,Yamhill,41071,Oregon,41,71,69,3,3,41071,100247,70,"Yamhill, OR",41071,715.86,3870075,95164.36
35,1064,York,42133,Pennsylvania,42,133,122,3,4,42133,436359,533,"York, PA",42133,904.18,12742886,44742.71
36,2383,Washington,44009,Rhode Island,44,9,37,1,3,44009,126826,47,"Washington, RI",44009,329.24,1051302,1033.82
37,670,York,45091,South Carolina,45,91,160,4,3,45091,228706,368,"York, SC",45091,680.6,4679230,30060.72
38,2050,Yankton,46135,South Dakota,46,135,57,2,1,46135,22709,13,"Yankton, SD",46135,521.16,767304,55060.3
39,632,Wilson,47189,Tennessee,47,189,165,4,3,47189,115021,190,"Wilson, TN",47189,570.83,6396934,41105.78
40,1761,Zavala,48507,Texas,48,507,75,3,1,48507,11923,9,"Zavala, TX",48507,1297.41,25636712,242770.64
41,1763,Weber,49057,Utah,49,57,75,3,3,49057,235698,177,"Weber, UT",49057,576.08,2806034,77707.31
42,1567,Windsor,50027,Vermont,50,27,86,3,2,50027,56732,49,"Windsor, VT",50027,969.34,626431,9216.67
43,2327,York,51199,Virginia,51,199,40,2,2,51199,66246,27,"York, VA",51199,104.78,8089467,38545.88
44,382,Yakima,53077,Washington,53,77,213,5,3,53077,247047,528,"Yakima, WA",53077,4295.4,6830038,66455.55
45,1627,Wyoming,54109,West Virginia,54,109,83,3,1,54109,23826,20,"Wyoming, WV",54109,499.45,1855364,24038.21
46,2526,Wood,55141,Wisconsin,55,141,28,1,2,55141,75979,22,"Wood, WI",55141,793.12,5711767,54157.87
47,1646,Weston,56045,Wyoming,56,45,82,3,1,56045,7266,6,"Weston, WY",56045,2398.09,568158,97093.14
