,Areaname,STCOU,LND110210D
0,UNITED STATES,0,3531905.43
1,ALABAMA,1000,50645.33
2,"Autauga, AL",1001,594.44
3,"Baldwin, AL",1003,1589.78
4,"Barbour, AL",1005,884.88
5,"Bibb, AL",1007,622.58
6,"Blount, AL",1009,644.78
7,"Bullock, AL",1011,622.81
8,"Butler, AL",1013,776.83
9,"Calhoun, AL",1015,605.87
10,"Chambers, AL",1017,596.53
11,"Cherokee, AL",1019,553.7
12,"Chilton, AL",1021,692.85
13,"Choctaw, AL",1023,913.5
14,"Clarke, AL",1025,1238.47
15,"Clay, AL",1027,603.96
16,"Cleburne, AL",1029,560.1
17,"Coffee, AL",1031,678.97
18,"Colbert, AL",1033,592.62
19,"Conecuh, AL",1035,850.16
20,"Coosa, AL",1037,650.93
21,"Covington, AL",1039,1030.46
22,"Crenshaw, AL",1041,608.84
23,"Cullman, AL",1043,734.84
24,"Dale, AL",1045,561.15
25,"Dallas, AL",1047,978.7
26,"DeKalb, AL",1049,777.09
27,"Elmore, AL",1051,618.49
28,"Escambia, AL",1053,945.08
29,"Etowah, AL",1055,534.99
30,"Fayette, AL",1057,627.66
31,"Franklin, AL",1059,633.82
32,"Geneva, AL",1061,574.41
33,"Greene, AL",1063,647.11
34,"Hale, AL",1065,643.94
35,"Henry, AL",1067,561.75
36,"Houston, AL",1069,579.82
37,"Jackson, AL",1071,1077.87
38,"Jefferson, AL",1073,1111.28
39,"Lamar, AL",1075,604.85
40,"Lauderdale, AL",1077,667.7
41,"Lawrence, AL",1079,690.68
42,"Lee, AL",1081,607.54
43,"Limestone, AL",1083,559.94
44,"Lowndes, AL",1085,715.91
45,"Macon, AL",1087,608.89
46,"Madison, AL",1089,801.59
47,"Marengo, AL",1091,976.88
48,"Marion, AL",1093,742.29
49,"Marshall, AL",1095,565.84
50,"Mobile, AL",1097,1229.44
51,"Monroe, AL",1099,1025.68
52,"Montgomery, AL",1101,784.25
53,"Morgan, AL",1103,579.34
54,"Perry, AL",1105,719.66
55,"Pickens, AL",1107,881.41
56,"Pike, AL",1109,672.09
57,"Randolph, AL",1111,580.55
58,"Russell, AL",1113,641.14
59,"St. Clair, AL",1115,631.9
60,"Shelby, AL",1117,784.93
61,"Sumter, AL",1119,903.89
62,"Talladega, AL",1121,736.78
63,"Tallapoosa, AL",1123,716.52
64,"Tuscaloosa, AL",1125,1321.76
65,"Walker, AL",1127,791.19
66,"Washington, AL",1129,1080.21
67,"Wilcox, AL",1131,888.5
68,"Winston, AL",1133,612.98
69,ALASKA,2000,570640.95
70,"Aleutians East, AK",2013,6981.94
71,"Aleutians West, AK",2016,4390.28
72,"Anchorage, AK",2020,1704.68
73,"Bethel, AK",2050,40570.0
74,"Bristol Bay, AK",2060,503.84
75,"Denali, AK",2068,12751.41
76,"Dillingham, AK",2070,18568.78
77,"Fairbanks North Star, AK",2090,7338.21
78,"Haines, AK",2100,2318.6
79,"Hoonah-Angoon, AK",2105,7524.92
80,"Juneau, AK",2110,2701.93
81,"Kenai Peninsula, AK",2122,16075.33
82,"Ketchikan Gateway, AK",2130,4858.41
83,"Kodiak Island, AK",2150,6549.58
84,"Lake and Peninsula, AK",2164,23652.01
85,"Matanuska-Susitna, AK",2170,24607.9
86,"Nome, AK",2180,22961.76
87,"North Slope, AK",2185,88695.41
88,"Northwest Arctic, AK",2188,35572.58
89,"Petersburg, AK",2195,3281.98
90,"Prince of Wales-Hyder, AK",2198,3922.87
91,"Sitka, AK",2220,2870.34
92,"Skagway, AK",2230,452.33
93,"Southeast Fairbanks, AK",2240,24768.81
94,"Valdez-Cordova, AK",2261,34239.88
95,"Wade Hampton, AK",2270,17081.43
96,"Wrangell, AK",2275,2541.48
97,"Yakutat, AK",2282,7649.46
98,"Yukon-Koyukuk, AK",2290,145504.79
99,ARIZONA,4000,113594.08
100,"Apache, AZ",4001,11197.52
101,"Cochise, AZ",4003,6165.69
102,"Coconino, AZ",4005,18618.89
103,"Gila, AZ",4007,4757.93
104,"Graham, AZ",4009,4622.6
105,"Greenlee, AZ",4011,1843.13
106,"La Paz, AZ",4012,4499.63
107,"Maricopa, AZ",4013,9200.14
108,"Mohave, AZ",4015,13311.08
109,"Navajo, AZ",4017,9950.42
110,"Pima, AZ",4019,9187.04
111,"Pinal, AZ",4021,5365.61
112,"Santa Cruz, AZ",4023,1236.92
113,"Yavapai, AZ",4025,8123.5
114,"Yuma, AZ",4027,5513.99
115,ARKANSAS,5000,52035.48
116,"Arkansas, AR",5001,988.77
117,"Ashley, AR",5003,925.35
118,"Baxter, AR",5005,554.28
119,"Benton, AR",5007,847.36
120,"Boone, AR",5009,590.23
121,"Bradley, AR",5011,649.23
122,"Calhoun, AR",5013,628.58
123,"Carroll, AR",5015,630.09
124,"Chicot, AR",5017,644.3
125,"Clark, AR",5019,866.07
126,"Clay, AR",5021,639.47
