,County,fips_code,State,fips_state,fips_county,crime_rate,crime_rate_bucket,population_bucket,fips_code,county_pop,total_crimes
0,Nome,02180,Alaska,02,180,956,6,1,02180,3661,35
1,Kodiak Island,02150,Alaska,02,150,817,6,1,02150,6238,51
2,Davidson,47037,Tennessee,47,037,780,6,4,47037,626937,4896
3,St Louis City,29510,Missouri,29,510,753,6,3,29510,320454,2416
4,Northwest Arctic,02188,Alaska,02,188,736,6,1,02188,3257,24
5,Jefferson,22051,Louisiana,22,051,730,6,4,22051,436508,3189
6,Alpine,06003,California,06,003,672,6,1,06003,1189,8
7,Yuba,06115,California,06,115,650,6,2,06115,73003,475
8,East Carroll,22035,Louisiana,22,035,638,6,1,22035,7830,50
9,Haines,02100,Alaska,02,100,631,6,1,02100,1743,11
10,Del Norte,06015,California,06,015,601,6,1,06015,28946,174
11,Natchitoches,22069,Louisiana,22,069,591,6,1,22069,39928,236
12,Quitman,13239,Georgia,13,239,589,6,1,13239,2546,15
13,Philadelphia,42101,Pennsylvania,42,101,587,6,4,42101,1530873,8989
14,North Slope,02185,Alaska,02,185,573,6,1,02185,9596,55
15,Bethel,02050,Alaska,02,050,565,6,1,02050,6187,35
16,Lake,06033,California,06,033,562,6,2,06033,65425,368
17,Greenwood,45047,South Carolina,45,047,557,6,2,45047,70988,396
18,Scott,29201,Missouri,29,201,545,6,1,29201,41079,224
19,De Soto,22031,Louisiana,22,031,539,6,1,22031,26900,145
20,Hall,31079,Nebraska,31,079,529,6,2,31079,59130,313
21,Robeson,37155,North Carolina,37,155,514,6,3,37155,136067,700
22,Crittenden,05035,Arkansas,05,035,512,6,2,05035,51287,263
23,Trinity,06105,California,06,105,509,6,1,06105,13948,71
24,Scotland,37165,North Carolina,37,165,497,6,1,37165,36418,181
25,Iberville,22047,Louisiana,22,047,492,6,1,22047,33692,166
26,St Bernard,22087,Louisiana,22,087,491,6,1,22087,36225,178
27,Glenn,06021,California,06,021,485,6,1,06021,28453,138
28,Hancock,47067,Tennessee,47,067,479,6,1,47067,6881,33
29,Suffolk,25025,Massachusetts,25,025,475,6,4,25025,726424,3456
30,Nye,32023,Nevada,32,023,467,6,1,32023,44317,207
31,Kern,06029,California,06,029,464,6,4,06029,849502,3950
32,Jefferson,28063,Mississippi,28,063,464,6,1,28063,7755,36
33,Lowndes,13185,Georgia,13,185,461,6,3,13185,110671,511
34,Modoc,06049,California,06,049,459,6,1,06049,9800,45
35,Maries,29125,Missouri,29,125,456,6,1,29125,9415,43
36,Mendocino,06045,California,06,045,452,6,2,06045,88874,402
37,Whitfield,13313,Georgia,13,313,451,6,3,13313,103950,469
38,Nash,37127,North Carolina,37,127,441,6,3,37127,115237,509
39,Dillingham,02070,Alaska,02,070,437,6,1,02070,3201,14
40,Duval,48131,Texas,48,131,432,6,1,48131,12949,56
